entity_id,tag,tag_type,confidence,method,canonical
design-of-long-range-tunable-couplers-for-superconducting-quantum-circuits,Python,language,1.0,dict,True
superconducting-quantum-processor-modeling,Python,language,1.0,dict,True
view-visual-experience-and-wearables,Data Science,specialization,1.0,dict,True
resilient-by-recipe-the-entrepreneur-s-diet-data-driven-analysis-of-mental-health-food-patterns,Regression,skill,1.0,dict,True
resilient-by-recipe-the-entrepreneur-s-diet-data-driven-analysis-of-mental-health-food-patterns,Machine Learning,specialization,1.0,dict,True
optimisation-in-atomistic-machine-learning,Machine Learning,specialization,1.0,dict,True
momentum-research-platform,Python,language,1.0,dict,True
momentum-research-platform,Docker,skill,1.0,dict,True
momentum-research-platform,Git,skill,1.0,dict,True
momentum-research-platform,NLP,specialization,1.0,dict,True
momentum-research-platform,Data Science,specialization,1.0,dict,True
resource-management-for-6g-in-x-subnetworks,Machine Learning,specialization,1.0,dict,True
menostik-ai-based-diagnostics-of-menopause-using-wearables-and-digital-biomarkers,Machine Learning,specialization,1.0,dict,True
menostik-ai-based-diagnostics-of-menopause-using-wearables-and-digital-biomarkers,Data Science,specialization,1.0,dict,True
ai-based-condition-monitoring-for-sensor-integrated-gears,Machine Learning,specialization,1.0,dict,True
byzantine-attack-strategies-in-federated-learning,Machine Learning,specialization,1.0,dict,True
