name,description,focus_areas,website,logo_url
Campus Traders,"“Finance put into action” – the student finance community brings theory to life. Through workshops, real-world projects and corporate partnerships, they foster expertise, career growth and a passion for business & markets.",Academic & Education,https://linktr.ee/campustraders,https://www.tum.de/fileadmin/_processed_/e/8/csm_CampusTraders_2_564cc611e1.webp
Campus choir Garching,"The choir performs sacred and secular choral works from the 19th to 21st century—ranging from classical to light music, in various languages, a cappella or with piano. Collaborations with choirs and orchestras enrich the musical experience.",Culture & the Arts,https://www.ccg.tum.de/,
Campus for Change,"Taking responsibility: Stu­dents pro­vide as­sis­tance for people in need in Germany and around the world, high­light­ing so­cial pro­blems and un­der­taking projects to tackle them.",Social & Diversity,https://www.campusforchange.org/,
Carousel Magazin,"Students publish an annual magazine on the built environment. It brings together perspectives on design, materials, and social and economic topics to foster interdisciplinary exchange and academic dialogue.",Academic & Education|Culture & the Arts,https://www.carouselmagazin.com/,
Christian Students at TUM,"1-on-1 mentoring for everyday student life, regular meetings and in-depth discussions, and numerous activities and excursions provide an enriching community.",Religious & Spiritual,https://csmuenchen.de/en/csattum/,
Cico Jazz Orchester,"The Cico Jazz Orchestra brings together alumni, students, and local musicians in an energetic Big Band—featuring concerts, tours, and jazz in all its diversity.",Culture & the Arts,https://www.instagram.com/cicojazzorchester,https://www.tum.de/fileadmin/user_upload_87/_processed_/8/b/csm_DSC_7934_best_bd3d6ed17e.webp
Coding for Change e. V.,The club connects TUM students with local and international NGOs to develop digital solutions that help them tackle real-world challenges and amplify their impact.,Technology & Research|Social & Diversity,https://codingforchange.com/,
ConsulTUM Club,"ConsulTUM strengthens consulting skills through peer-to-peer learning while building essential future competencies – practical, collaborative, and interdisciplinary.",Networking & Career|Academic & Education,https://www.consultumstudentclub.com/,
DASH,DASH develops a lower-limb exoskeleton for fully paraplegic patients to help them regain mobility.,Technology & Research,https://tumdash.com/,https://www.tum.de/fileadmin/user_upload_87/_processed_/4/b/csm_IMG_6043_cd5a9e8e90.webp
Debate Club Munich,"The club hosts weekly training debates where students develop arguments, present them strategically, and receive direct feedback to strengthen their rhetorical skills.",Academic & Education|Social & Diversity,https://debattierclub-muenchen.de/,
EESTEC Munich,Exchange of ideas: Students of Electrical and Computer Engineering can collect experience Europe-wide and make international contacts in work­shops at universities and in companies,,https://eestec.net/cities/munich,
EHG – Protestant University Community at TUM,"Everyone is welcome at the EHG: eating and chatting together, discussing current topics, getting creative and trying new things, experiencing brief spiritual reflections, relaxing at Café Auszeit, or recharging your batteries on hikes.",Religious & Spiritual,https://www.ehg-tum.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/d/7/csm_ehg2jpg_03e79acac4.webp
EI Girls,"For all female electrical engineering students at TUM: This is a place to get helpful study tips, connect with others, support one another, share job opportunities – and make new friends along the way.",Networking & Career,mailto:ei.girls.tu@gmail.com,https://www.tum.de/fileadmin/user_upload_87/_processed_/7/b/csm_EI_Girls_Foto_Gallery_5be1e31ae0.webp
EMSA FMO TU Munich,European networking for medical students: The European Medical Students' Association (EMSA) promotes professional and cultural exchange among European medical students.,Networking & Career,https://www.sv.tum.de/en/med/projekte/emsa/,
ETHER,ETHER brings together students passionate about high-frequency technology and amateur radio. The team develops systems and components for wireless communication – from antennas and measurement setups to RF circuits.,,https://www.instagram.com/ether_rfteam/,
EUROAVIA Munich,"The club promotes exchange among aerospace students locally and across Europe. It organizes events, company visits, international trips, and since 2025, the innovative Student AirRace drone race.",Academic & Education,https://linktr.ee/euroavia.munich,https://www.tum.de/fileadmin/user_upload_87/_processed_/e/6/csm_webseite_3_50cdccdf6f.webp
Eat & Meet Munich,Club for Foodies: a social community that brings together students who enjoy trying different cuisines and exploring new places.,Social & Diversity|Culture & the Arts,https://www.instagram.com/eatmeetmunich/,
Edunovo,Students offer digital workshops and school projects on future skills and self-confidence to empower young people from less privileged backgrounds and promote educational equity.,Academic & Education|Social & Diversity,https://www.edunovo.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/c/3/csm_edu104109d-c287-48ce-b6cc-8eaf09528a17_77b2160932.webp
Edventure @ TUM,"The club offers the opportunity to explore various career opportunities in the field of education, and develop an entrepreneurial mindset by developing solutions to real educational problems.",Academic & Education,mailto:edventuretum@gmail.com,
Effective Altruism Munich,Students dedicate themselves to areas where their efforts can make the greatest difference. At the heart of their commitment lies a key question: How can we use our limited resources to do the most good?,Social & Diversity,https://www.eamuenchen.de/,
Elara Aerospace,Elara Aerospace is aiming for the first student-built Methalox rocket to reach 100 km.,Technology & Research,https://elara-aerospace.com/,
Electrochemical Society Student Chapter Munich,"The ECS-SCM connects students, researchers, and industry in the field of electrochemistry. Through methods clubs, company visits, and symposia, the club offers practical insights into research on renewable energy.",Academic & Education,https://www.ch.nat.tum.de/tec/ecs-student-chapter/,https://www.tum.de/fileadmin/user_upload_87/_processed_/a/d/csm_ECSSCM-BMW-Visit_2_best_f7af2f98c5.webp
EnHands,"EnHands designs affordable and durable prosthetic hands for people in developing countries, focusing on mechanics, prosthetic design, 3D modeling, 3D printing, and robotics.",Technology & Research,https://enhands.de/,
Enactus Munich,"Enactus Munich develops social startups that actively contribute to the UN Sustainable Development Goals. Supported by a global network, students create sustainable solutions to tackle social challenges.",Business & Entrepreneurship,https://enactus-muenchen.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/7/c/csm_Enactus_1_best_c40afedd18.webp
Enactus Straubing,"Enactus Straubing develops social startups that actively contribute to the UN Sustainable Development Goals. Supported by a global network, students create sustainable solutions to tackle social challenges.",Business & Entrepreneurship,https://enactus-straubing.de/,
Environmental Lecture Series,"The lecture series has offered interdisciplinary talks on topics like climate and health since 1985. Organized voluntarily by students, it promotes scientific exchange and raises awareness on current environmental issues.",Sustainability & Health,https://umwelt.asta.tum.de/en/ringvorlesung/,
Erasmus Student Network (ESN TUMi),"ESN TUMi offers a wide range of events tailored to international students at TUM. With nearly 400 events per year, TUMi tutors create opportunities for connection open to all TUM students.",International & Country-Specific|Social & Diversity,https://tumi.esn.world/events,https://www.tum.de/fileadmin/user_upload_87/_processed_/f/0/csm_ESN_20250511_10190194_4d23b4c8ca.webp
Ethics in Academia,"The student initiative puts ethics at the core of academic life. Through discussions, debates, and lectures, they promote ethical awareness and critical thinking in research and education.",Academic & Education,https://linktr.ee/ethics.academia.tum,
Eurasia Portal: Munich Node,"The club connects the next generation of TUM pioneers with Asian innovation hubs, enabling global ventures from day one through interdisciplinary focus, uniting engineering, finanace and policy, and local meetups as well as strategic expeditions.",,https://eurasia-portal.org/,
EyeVoices,"EyeVoices develops technology that enables communication through eye movements using only a smartphone. The club creates inclusive solutions, empowers people with motor impairments, and combines AI with practical accessibility.",Technology & Research,https://www.eyevoices.com/,https://www.tum.de/fileadmin/_processed_/6/0/csm_EyeVoices_1e2ccb79bc.webp
Faculties Football League,"Interdisciplinary student soccer league: Teams from various universities compete in group and knockout stages - fostering diversity, exchange, and team spirit through sport.",Culture & the Arts|Social & Diversity,https://facultiesfootballleague.de/,
Family Business Club,"The Family Business Club connects TUM students with established family businesses. Focused on NextGen, company visits, and networking, it offers valuable insights, exchange, and inspiration for future entrepreneurs.",Business & Entrepreneurship,https://www.family-business-club.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/7/2/csm_FamilyBusiness_1_best_d03dbbd047.webp
Forward Europe Munich,"Forward Europe Munich offers a forum for students interested in European politics. The club fosters exchange, discussion, and fresh perspectives on the future of Europe.",Networking & Career|Academic & Education,https://munich.fwdeu.org/,
Fusian Dance Crew,"Dance enthusiasts learn various hip-hop styles, create choreographies together, and perform them at events.",Culture & the Arts,https://fusiandance.github.io/,
Future Foods,"Future Foods is committed to reducing environmental impact, improving animal welfare, and fighting global hunger. Members explore future technologies like precision fermentation and cultivated meat, exchanging ideas on innovative solutions.",Sustainability & Health,https://www.linkedin.com/company/future-foods-tum/,
Future Founders Initiative,"The goal is to inspire young people to explore entrepreneurship – through startup visits, national networking events, fireside chats, hackathons, and especially design thinking competitions.",Business & Entrepreneurship|Networking & Career,https://ffievents.com/event/muenchen/,https://www.tum.de/fileadmin/user_upload_87/_processed_/0/5/csm_Aussagekraeftig_ffi1_9f372e1d86.webp
GOOSE,"The club develops exciting microgravity experiments on semiconductor materials using sounding rockets. Together, future projects are planned to harness microgravity for innovative research and technology.",Technology & Research,https://rexusgoose.com/#/,
Game Development Club,"he club develops games as small, parallel worlds, combining technology, design, and logic in a hands-on project. Students experiment freely, test ideas, and get an open, creative introduction to game development.",,https://www.instagram.com/gamedev_tumhn/,https://www.tum.de/fileadmin/user_upload_87/_processed_/d/4/csm_WhatsApp_Image_2025-11-20_at_11.45.25_AM_eb5effc611.webp
Games Night,"A meetup for game lovers at Campus Straubing: from classics and strategy games to party fun. Games can be brought along or discovered in a relaxed, friendly atmosphere.",Culture & the Arts|Social & Diversity,https://stud.cs.tum.de/de/studium/informationen/fachschaft,
German Chinese Student Club,"The club connects students with Chinese roots and anyone interested in culture. It creates space to discuss identity, careers, and intercultural experiences. Members gain networks, insights, and explore diversity together.",International & Country-Specific,https://www.instagram.com/gcsc.muc?igsh=Ynl2d2MzcDJyNjE0,
Global Shapers Munich,"The Global Shapers Community of the WEF is a network of young leaders. The Munich hub focuses on projects addressing climate change, skills development, and healthy living – creating tangible impact in the region.",Social & Diversity|Networking & Career,https://globalshapersmunich.org/,https://www.tum.de/fileadmin/user_upload_87/_processed_/8/8/csm_WhatsApp_Image_2026-02-09_at_12.48.51_d383be52e0.webp
HORYZN,HORYZN builds Europe’s largest student drone for medical missions. The interdisciplinary team designs and flies autonomous aircraft — with the goal of saving lives.,Technology & Research,,https://www.tum.de/fileadmin/user_upload_87/_processed_/a/2/csm_Workshop_best_34118fe927.webp
HackerFab Munich,Chips are made in fabs that cost billions – or by students at HackerFab Munich. The club builds its own open-source and affordable microfabrication tools making semiconductor technology hands-on for everyone.,,https://www.hackerfab-munich.com,https://www.tum.de/fileadmin/user_upload_87/_processed_/2/5/csm_main-photo_b316d8e092.webp
Hochschulgruppe des Landesbund für Vogelschutz Straubing,The university group brings together nature-loving students dedicated to protecting wildlife and the environment in Straubing.,Sustainability & Health,https://straubing-bogen.lbv.de/%C3%BCber-uns/hochschulgruppe/,
Hochschulgruppe des Landesbunds für Vogelschutz Freising,The university group brings together nature-loving students dedicated to protecting wildlife and the environment in Freising.,Sustainability & Health,https://freising.lbv.de/hochschulgruppe/%C3%BCber-uns/,
Hongkong-Macau Student Society Munich,"The initiative supports Hong Kong and Macau students in Munich with orientation and community-building. It preserves Hong Kong culture and Cantonese through events like club fairs, food festivals, and film screenings.",International & Country-Specific,https://hkmss.de,
Hummingbird,"The team develops, tests, and optimizes gas turbines in their own design atelier, focusing on aspects such as the drive system and acoustics.",Technology & Research,https://www.asg.ed.tum.de/ltf/studium/hummingbird/,
IAESTE an der TUM,Students arrange internships abroad and support international students in Munich — ideal for those seeking organizational experience and global networking.,International & Country-Specific|Networking & Career,https://iaeste-muenchen.de/de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/a/4/csm_IAESTE_Members_1_db20b8eb20.webp
IKOM,"Students from all disciplines organize career fairs, workshops, and lectures across all three TUM campuses – actively connecting students with companies.",Networking & Career,https://ikom-tum.de,https://www.tum.de/fileadmin/user_upload_87/_processed_/3/b/csm_IKOM_3_best_59f9bec516.webp
ISPE SC Munich – International Society for Pharmaceutical Engineering,"The ISPE Student Chapter Munich connects students with the pharma and biotech industries. With excursions, networking events, and insights into Good Manufacturing Practice the club offers hands-on perspectives for careers in Pharma 4.0.",,https://ispe-dach.org/student-chapter-muenchen/,https://www.tum.de/fileadmin/user_upload_87/_processed_/2/b/csm_ISPE_1_best_ffd72c4e98.webp
ITA-Haus,"The club connects Italian students at TUM and anyone interested in Italian culture. We organize social events such as themed dinners, bar hopping and parties, as well as cultural activities, trips, and career-oriented events.",International & Country-Specific,mailto:liguorii.matteoo@gmail.com,
Ifriqiya Academic Circle (IAC),"The club promotes personal, academic, and professional development with focus on career, research, entrepreneurship, and networking, especially for Tunisian students, as well as intercultural exchange. “Ifriqiya” encourages curiosity and dialogue.",Academic & Education|International & Country-Specific,https://www.instagram.com/ifriqiya_academic_circle?igsh=MTVpMXY5eTRtanI2aQ%3D%3D,
Impetus Sailing Team,"Impetus Sailing designs, builds, and sails sustainable boats for student competitions. Combining engineering, teamwork and water sports – with a focus on circular materials. Open to students from all Munich universities.",Sustainability & Health|Technology & Research,https://impetussailing.de,https://www.tum.de/fileadmin/user_upload_87/_processed_/0/a/csm_Impetus_1_best_47b337b714.webp
Information Systems Association,The club fosters cross-year exchange and strengthens the community of Business Informatics and related students at TUM.,Networking & Career,https://information-systems.club/,
Ingenieure ohne Grenzen,"The Munich group implements technical projects delivering clean water, electricity, and education. Students collaborate interdisciplinarily with local partners, gain practical knowledge, and develop solutions with lasting impact.",Technology & Research|Social & Diversity,https://www.ingenieure-ohne-grenzen.org/de/mitmachen/regionalgruppe-muenchen,https://www.tum.de/fileadmin/user_upload_87/_processed_/1/3/csm_Gruppenbild_RG_Muc_best_a927bedb81.webp
Innovis VC,The Innovis Venture Club informs students on the topics of business start-ups and venture capital models.,Business & Entrepreneurship,https://www.innovis.vc/,https://www.tum.de/fileadmin/user_upload_87/_processed_/d/d/csm_IMG_1573_compressed__9892b78297.webp
International Business Talk (IBT),"The club provides a platform for exchange on economic and geopolitical topics, connecting students and young professionals, discussing current developments, and fostering the creation of an international network.",International & Country-Specific|Networking & Career,mailto:Shuxin.yu@tum.de,
JSUD – Jewish Student Union Germany,"The JSUD promotes exchange between Jewish and non-Jewish students. Through diverse events, they showcase Jewish life, break down stereotypes, and actively combat antisemitism.",Religious & Spiritual,https://www.facebook.com/JSUDeutschland,
Japanese Culture Club Munich,"Japanese Culture Club Munich connects students through Japanese culture, workshops, and events. The club creates space for shared experiences and intercultural exchange — ideal for Japan enthusiasts at any level.",International & Country-Specific,https://jacc-munich.de,https://www.tum.de/fileadmin/user_upload_87/_processed_/7/4/csm_Japanese_Culture_Club_2_best_804d232a6f.webp
Junior German Society for Biochemistry and Molecular Biology Munich,"Junior GBM connects biochemistry and molecular biology students with companies and research, offers exciting events, and opens doors to professional careers!",Networking & Career,https://gbm-online.de/de/junior-gbm-muenchen.html,
KHG – Catholic University Community at TUM,"The community offers an open meeting place for all students, faculty, and staff—to work, relax, and connect. It provides spiritual programs, counseling, and workshops.",Religious & Spiritual,https://www.khg-tum.de/,
Kulturklub,"The Kulturklub unites students to explore Munich’s art, music, and culture. Group visits with exclusive discounts and behind-the-scenes access make culture affordable and unforgettable.",,https://kulturklub.hsg.fs.tum.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/6/5/csm_Kulturklub_3_best_60f6340005.webp
LATUM,"LATUM (Latin American at TUM) fosters cultural exchange and belonging. The club connects students from Latin America and beyond with events, workshops, and support to help them start life smoothly in Germany.",International & Country-Specific,https://www.instagram.com/latum.club/,
LEVITUM,"LEVITUM is developing the world’s most powerful hydrogen-powered eVTOL drone under 25 kg. Powered by cutting-edge fuel cell technology and strong team spirit, the “Mercurius” prototype is innovative, hands-on, and future-oriented.",Technology & Research,https://www.levitum.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/7/c/csm_LEVITUM_1_best_e61ee107bd.webp
Legmon e.V. München,"The club promotes equal opportunities at TUM. First‑generation students and those facing financial hardship receive free support through 1:1 mentoring, career events, and an interdisciplinary community.",,https://legmon.com/,https://www.tum.de/fileadmin/user_upload_87/_processed_/8/c/csm_YFC_Konferenz_3e7b7bd8e2.webp
Leptodon,"Leptodon develops high-performance drones that detect, analyze, and assess flying objects. With drone design, sensor technology, and smart algorithms, we identify potential hazards early and create safe aerial systems.",,https://leptodon.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/7/3/csm_IMG_5656_c64ef5ff42.webp
Lern-Fair Munich,"Students volunteer to support schoolchildren with their learning, helping to improve equal opportunities in education.",Academic & Education|Social & Diversity,https://www.lern-fair.de/,
Lëtzebuerger Studenten zu München,"LSM connects Luxembourgish students in Munich, organizes regular meetups, trips, and events – and supports them in starting their studies, navigating daily life, and making new friends.",International & Country-Specific,https://lsm.lu/,
MLTech,"ML Tech unites Munich students from law, computer science, and other fields. The goal is to inspire interest in legal digitalization and connect members with pioneers in Legal Tech – following the motto: Inform. Inspire. Invent.",Networking & Career|Academic & Education,https://www.ml-tech.org/,
MOVE Prosthetics,"MOVE develops robust, affordable prosthetics that use myoelectric signals from residual muscles. The systems enable intuitive control, increase comfort and independence, and remain accessible for underserved communities.",,https://moveprosthetics.com,
MTP – Marketing zwischen Theorie und Praxis,"Hands-on marketing experience with Germany’s largest student marketing initiative through inspiring talks, projects, trainings, conferences, and events – offering real-world insights into the marketing field.",Networking & Career|Academic & Education,https://www.mtp.org/verein/geschaeftsstellen/muenchen,
MUN Centenarians,"A community to collectively explore the field of aging, preventative measures, and in doing so unlock an alternative way of life.",Sustainability & Health,https://muncent.com/,https://www.tum.de/fileadmin/user_upload_87/_processed_/6/b/csm_MUNC_Student_Club_Gallery_Image_e676951262.webp
Mary's Meals Studentclub,"The club highlights global hunger, strengthens access to education, and activates students. Actions, events, and talks drive its shared mission: Zero Hunger.",Social & Diversity|Sustainability & Health,https://www.instagram.com/marysmeals.studentclub/,https://www.tum.de/fileadmin/user_upload_87/_processed_/5/9/csm_Marys_Meals_0fcdb1689b.webp
MedTech OneWorld Students,"MedTech OneWorld Students develops medical technology solutions for developing countries in collaboration with local partners. Students from all fields are welcome to join, contribute ideas, and help improve global health.",Technology & Research|Sustainability & Health,https://mtows.de/,
Mindful Peace Student Organization,"Studies and work can be stressful. The club promotes Chan from Chinese Buddhism to foster calmness, mindfulness, and clarity through activities like tea ceremonies, meditation, and reading, helping create balance and inner well-being.",Culture & the Arts|Religious & Spiritual,mailto:yunxiang.sheng@tum.de,
Mittelstand Connect Club,"The Mittelstand Connect Club bridges the gap between local companies and the Bildungscampus, enabling students to support businesses in their digital transformation. Its goal is to become a driving force for creating job opportunities for students.",Networking & Career,mailto:fadel.seydou@gmail.com,
Model United Nations TU Munich (MUNTUM),"Students simulate UN debates as delegates, draft and pass resolutions. The club fosters understanding of international politics and builds diplomacy and debating skills through hands-on experience.",Academic & Education|International & Country-Specific,https://muntum.org,https://www.tum.de/fileadmin/user_upload_87/_processed_/1/5/csm_MUNTUM_3_best_5b072e4f80.webp
Munich Animal Rights Club,"MARC brings together everyone committed to animal rights. Through talks, discussions, and social events, the club fosters exchange and promotes engagement for a more animal-friendly world.",Social & Diversity,https://www.municharc.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/2/f/csm_12-DSC_1923_compressed_c41481b5e0.webp
Munich Bioneers,"Students develop biosensors for disease monitoring, participate in the SensUs competition, and organize exciting events such as expert talks and networking sessions.",Academic & Education|Technology & Research,https://sensus.org/munich-bioneers-0,
Munich Competitive Math Club,The Munich Competitive Math Club prepares students for international math competitions. Weekly sessions focus on solving challenging problems and exploring advanced mathematical concepts.,Academic & Education,https://mc-squared.jimdosite.com/,
Munich FinanceCircle,"The club offers a platform for students aspiring to a career in finance. With a strong network of corporate partners, the club offers exclusive events and workshops, providing valuable contacts and practical insights into the finance industry.",Networking & Career,https://munichfinancecircle.de/,
Munich Music Labs,"The club pioneers AI-driven music technology, merging technical expertise with creative practice. It connects research and industry and empowers students to launch projects in the music tech space.",Culture & the Arts|Technology & Research,https://munichmusiclabs.com,https://www.tum.de/fileadmin/_processed_/c/3/csm_Munich_Music_Lab_bbffa1115a.webp
Munich NLP,"Munich NLP connects language and technology, fostering exchange between students, researchers, and experts. With online talks, discussions, and meetups, the club offers engaging insights and networking opportunities in natural language processing.",Academic & Education,https://munich-nlp.com/#about,
Munich Student Athletes Club,"MuSAC unites student athletes from all sports, fosters connection, provides support, and advocates for their interests. Achieving more together – both on and off the field.",Social & Diversity|Sustainability & Health,https://www.munich-sac.de/,
Munich Students MTB Club,"The Munich Students MTB Club brings together bikers for regular rides along the Isar, in the Alps, and at bike parks – fun, nature, and adrenaline guaranteed!",Social & Diversity,https://www.instagram.com/munichstudentsmtb/?igshid=YmMyMTA2M2Y%3D,
